V1,V2,V3,V4,V5,V6,class
1,3,1,1,1,1,0
1,3,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,3,0
1,1,1,1,1,1,0
1,1,1,1,1,3,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
3,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
3,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,3,0
1,1,1,1,1,1,0
3,1,1,1,1,1,0
3,1,1,1,1,3,0
3,1,1,1,1,1,0
3,1,1,1,1,1,0
1,1,1,1,1,3,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
3,3,1,1,1,1,0
1,3,1,1,1,1,0
3,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
3,1,1,1,1,1,0
1,3,1,1,1,1,0
1,3,1,1,1,1,0
1,1,1,3,1,3,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,3,1,1,0
1,1,1,1,1,3,0
1,1,1,1,1,1,0
1,1,1,1,1,3,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
3,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
3,1,1,1,1,1,0
3,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,3,1,1,1,1,0
1,3,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,3,1,1,0
1,1,1,1,1,3,0
1,1,1,1,1,1,0
1,1,1,1,1,3,0
3,1,1,1,1,3,0
3,1,1,1,1,1,0
3,1,1,1,1,1,0
1,1,1,1,1,3,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
3,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,3,1,1,3,0
3,1,1,1,1,1,0
1,1,1,1,1,3,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,3,0
1,1,1,1,1,1,0
3,1,1,1,1,1,0
3,1,1,1,1,3,0
3,1,1,1,1,1,0
3,1,1,1,1,1,0
1,1,1,1,1,3,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,3,1,1,1,1,0
3,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
3,1,1,1,1,1,0
1,3,1,1,1,1,0
1,3,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,3,0
1,1,1,1,1,1,0
1,1,1,1,1,3,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
3,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
3,1,1,1,1,1,0
